Marca temporal,"Evalúe su nivel de competencia en el uso de plataformas LMS (Moodle, Canvas, Google Classroom).",¿Con qué frecuencia diseña actividades interactivas en entornos digitales?,¿Qué tan competente se siente para adaptar materiales a estudiantes con discapacidad?,¿Ha recibido formación específica sobre el uso pedagógico de TIC en su institución?,¿Considera que su institución brinda apoyo suficiente para fortalecer sus competencias digitales?,¿Evalúe su competencia para crear recursos educativos con Canva Genially u otras?,¿Utiliza repositorios abiertos de recursos académicos y científicos    ?,¿Con qué frecuencia adapta sus contenidos digitales a la diversidad estudiantil?,¿Con que frecuencia utiliza herramientas colaborativas como Google Docs o Padlet? con sus estudiantes,"¿Con qué frecuencia participa en comunidades virtuales o redes digitales de docentes para compartir recursos, estrategias o experiencias pedagógicas? ","¿Utiliza herramientas como (Kahoot, Socrative, Moodle) para la evaluación formativa?",¿Qué tan competente se considera en el diseño y uso de rúbricas digitales para evaluar el aprendizaje de sus estudiantes? ,"¿Con qué frecuencia utiliza medios digitales (video, audio o texto) para ofrecer retroalimentación personalizada a sus estudiantes? ","¿Con qué frecuencia utiliza herramientas de IA (ChatGPT, Copilot, Gamma, Bard, etc.) en su enseñanza?",¿Ha recibido formación específica sobre IA aplicada a la educación?,¿En qué medida considera que la inteligencia artificial puede apoyar y complementar su retroalimentación docente? ,¿En qué medida considera que la inteligencia artificial contribuye a personalizar el aprendizaje de sus estudiantes? ,¿Percibe que el uso de la inteligencia artificial en el aula implica la necesidad de abordar temas éticos con sus estudiantes? ,¿Cree que la IA puede favorecer la inclusión educativa?,¿Considera que la IA le ahorra tiempo en tareas repetitivas?,¿Conoce la metodología COIL (Collaborative Online International Learning)?,¿Conoce el marco DigCompEdu de la Unión Europea sobre competencias digitales docentes?,¿Conoce el marco ICT-CFT de la UNESCO sobre competencias digitales docentes?,"¿Conoce que existen criterios internacionales para evaluar competencias digitales docentes (niveles: básico, intermedio, avanzado)?",¿Seleccione su nivel de competencias digitales docentes de acuerdo al marco europeo DigCompEdu?,¿En qué áreas considera tener mayor dominio en el uso de tecnologías digitales? (marque todas las que correspondan),¿Cuáles son las principales dificultades que enfrenta al integrar TIC o IA en su práctica docente? (marque todas las que correspondan),¿Considera que sus competencias digitales actuales son adecuadas para implementar estrategias pedagógicas que promuevan aprendizajes significativos en entornos virtuales?,¿En qué medida sus competencias digitales contribuyen a generar aprendizajes significativos en sus estudiantes? ,Mencione las principales ventajas que ha encontrado al usar plataformas virtuales en su institución.,¿Qué limitaciones ha enfrentado en el uso de herramientas digitales en su práctica docente?,"En su opinión, ¿qué competencias digitales son esenciales para un docente de educación superior?",¿De qué manera el uso de herramientas digitales ha influido en sus estrategias o criterios para evaluar el aprendizaje de sus estudiantes? ,¿Qué retos técnicos o dilemas éticos ha experimentado o considera que podría enfrentar al integrar herramientas de inteligencia artificial en el aula? ,INSTITUCIÓN DE EDUCACIÓN SUPERIOR
2025-10-28 17:14:07.526,2,3,3,3,2,1,3,4,3,1,3,3,5,4,2,4,4,5,5,5,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,Facilidad para realizar tareas.,Conectividad con errores; información confusa ,Capacidad de integrar la tecnología de forma pedagógica,para evaluarlos. ,No hay equipos; falta informar sobre la ética en su uso; no hay buena conectividad,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-28 17:17:24.253,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,2,"Uso limitado, aplica TIC en actividades simples.",Creación y adaptación de contenidos digitales.,"Conectividad limitada., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.","Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,"Automatización de proceso, detección de falencia de conocimientos en los estudiantes","El servicio de internet, herramientas son de pagos",Formación de nuevas herramientas,para identificar falencias aunque los estudiante no lo valoren,Recursos,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-28 17:33:08.356,4,3,4,3,5,4,5,5,4,4,4,4,4,3,4,4,3,5,5,4,2,2,2,3,Uso autónomo y regular de TIC en la enseñanza.,Desarrollo profesional y formación continua en competencias digitales,Infraestructura tecnológica insuficiente,"Sí, totalmente adecuadas.",Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Rapidez de Calificación ,No veo ninguna limitación ,Promover el uso ético y seguro de la tecnología.,de manera correcta,No retener el conocimiento ,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-28 17:36:11.990,4,4,1,4,3,2,2,2,1,2,3,4,4,4,4,4,4,4,4,4,1,1,1,2,"Uso avanzado y flexible, adapta recursos digitales a distintas necesidades.",Uso de inteligencia artificial y tecnologías emergentes.,"Infraestructura tecnológica insuficiente, Conectividad limitada.","Sí, totalmente adecuadas.",Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Ahorro de tiempo ,El internet ,Manejo de IA,De una manera positiva ,La infraestructura ,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-28 17:38:39.286,3,3,3,3,2,3,3,3,3,2,4,4,3,3,4,4,4,4,5,4,2,2,2,1,"Uso avanzado y flexible, adapta recursos digitales a distintas necesidades.","Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Resistencia al cambio o cultura digital limitada.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Se cuenta con más tiempo para planificar las clases.,Falta de Internet y Acceso a las herramientas de forma Gratuita.,Manejar las TICs en la práctica Docente.,Ha permitido que se simplifique los procesos.,"La Copia, la dependencia total de las herramientas.",INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-28 18:59:14.804,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,5,5,5,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente","Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas.","Infraestructura tecnológica insuficiente, Conectividad limitada., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Poco adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,"Clases asincrónicas, recursos digitales organizados",No todos los estudiantes y aulas cuentas con equipos de ultima generación,"Producción audiovisual, presentación atractiva y motivadora",eficiente,la falta de criterio personal en ciertos temas que requieren mayor profundidad de análisis,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-28 19:41:45.418,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,Innova con TIC y guía a otros docentes en su uso.,Desarrollo profesional y formación continua en competencias digitales,"Conectividad limitada., Resistencia al cambio o cultura digital limitada.",Poco adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,DIDACTICAS,EL COSTO ,"La gestión de información, la comunicación y colaboración, la creación de contenidos digitales, la seguridad digital y la resolución de problemas.","permitir una evaluación más formativa, personalizada y dinámica, con retroalimentación instantánea y un seguimiento en tiempo real del progreso del estudiante. ","responsabilidad, toma de decisiones y rendición de cuentas; sesgos y equidad; privacidad y protección de datos; empleo y automatización; transparencia y explicabilidad e impacto en la autonomía humana.",INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-28 21:53:25.376,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente","Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Uso de inteligencia artificial y tecnologías emergentes.","Conectividad limitada., Sobrecarga laboral o falta de tiempo.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Flexibilidad en el desarrollo  de contenidos,Infraestructura Tecnológica,Mayor conocimiento de uso de herramientas TIC´S ,De alto impacto,La cantidad de asimilización de conocimientos adquiere el estudiante,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-28 22:22:00.702,4,3,2,4,4,4,3,3,3,2,3,3,5,4,2,4,4,4,5,4,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital).","Conectividad limitada., Sobrecarga laboral o falta de tiempo.","Sí, totalmente adecuadas.",Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Permite una retroalimentación adecuada en el proceso de enseñanza.,La conectividad limitada.,"Uso adecuado de la IA, manejo de plataformas para preparar material de apoyo.",A influido de manera positiva ya que el uso de plataformas digitales ahorra tiempo en la práctica docente.,El dilema sería como controlar si los estudiantes están aprendiendo o la IA está pensando por ellos.,INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN
2025-10-28 22:24:58.425,4,4,3,5,5,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,1,2,2,3,"Uso avanzado y flexible, adapta recursos digitales a distintas necesidades.",Creación y adaptación de contenidos digitales.,Sobrecarga laboral o falta de tiempo.,"Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,"Flexibilidad, mejor accesibilidad, optimización de la gestión docente y un enriquecimiento del proceso de aprendizaje mediante recursos interactivos y diversas metodologías digitales.","Las principales limitaciones encontradas en el uso de herramientas digitales en la práctica docente incluyen la brecha digital, la falta de capacitación técnica, las dificultades técnicas y la gestión de la interacción virtual.","Integración pedagógica y ética de las tecnologías, la gestión de recursos digitales, la evaluación en entornos virtuales y el fomento de la comunicación y colaboración digital.","Ha permitido una evaluación más personalizada, activa y transparente.","Formación docente insuficiente, Infraestructura tecnológica desigual, Privacidad y seguridad, Equidad e inclusión, Dependencia tecnológica y creatividad.",INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN
